Gene Name,Product Annotation,BaseMean,BaseMeanA,BaseMeanB,Fold Change,log2 Fold-Change,P-value,FDR,Effect
astE,Succinylglutamate desuccinylase,19.64365095,5.934887094,28.78282686,4.849768227,2.277915802,0.000411017,0.005672332,Upregulated
atpG,ATP synthase gamma subunit,240.3228489,66.91271619,355.9296041,5.319311849,2.411239619,0.009693011,0.077131873,Upregulated
bioD,dethiobiotin synthetase,20.53261942,1.653952732,33.11839721,20.023787,4.323642945,2.17E-17,5.68E-15,Upregulated
blc,putative lipoprotein,37.99485828,72.02854595,15.30573316,0.212495379,-2.234496627,0.002490657,0.02528032,Downregulated
cadC,transcriptional activator cadC,59.94193558,101.9265558,31.95218878,0.313482473,-1.673543312,0.001108784,0.012942855,Downregulated
caiF,transcriptional activator CaiF,109.4533142,239.1709645,22.9748807,0.096060493,-3.379912981,0.011991077,0.090785625,Downregulated
carA,carbamoyl-phosphate synthase small chain,122.4504379,261.0038125,30.0815215,0.115253188,-3.117121436,0.000101914,0.001742657,Downregulated
cbiH,precorrin-3 C17-methyltransferase,27.97776456,3.81032209,44.08939287,11.57104093,3.53244675,0.001204207,0.013835705,Upregulated
cbiJ,cobalt-precorrin-6a reductase (ec 1.3.1.-),30.65518262,5.504750724,47.42213721,8.614765606,3.106811544,9.18E-09,4.59E-07,Upregulated
cbiP,putative cobyric acid synthase,58.12226426,20.5987751,83.1379237,4.036061528,2.012948168,0.001470645,0.016105772,Upregulated
cbiQ,putative cobalt transport protein,14.80442981,5.784358503,20.81781069,3.598983479,1.84758948,4.65E-06,0.00012337,Upregulated
cbiT,precorrin-8W decarboxylase,19.93246811,2.792991548,31.35878582,11.22766943,3.488986588,0.010020848,0.079068116,Upregulated
ccmD1,protoheme transport protein D1,5.222378968,1.139319384,7.944418691,6.972951398,2.801769426,0.001398654,0.015498794,Upregulated
ccmF1,cytochrome C-type biogenesis protein,48.70595555,3.100858509,79.10935357,25.51208104,4.673108681,0.011796015,0.089515761,Upregulated
chaB,cation transport regulator ChaB,14.46491232,30.08852938,4.049167611,0.134575125,-2.893516326,0.000532216,0.007055626,Downregulated
cirA,colicin I receptor precursor,81.90441341,16.13112092,125.7532751,7.795693537,2.962677377,1.31E-06,4.11E-05,Upregulated
citG2,triphosphoribosyl-dephospho-CoA synthase,21.11276239,4.622748014,32.10610531,6.945242355,2.796025038,0.001438011,0.015827792,Upregulated
creB,putative two-component response regulator,45.67109716,17.00146804,64.78418325,3.810505251,1.929982304,7.18E-08,2.87E-06,Upregulated
crl,curlin genes transcriptional activator,66.80793522,134.7364338,21.52226953,0.159736078,-2.646237896,3.06E-09,1.67E-07,Downregulated
csgA,major curlin subunit precursor,25.02630745,49.75903616,8.537821648,0.171583341,-2.54301861,0.000488695,0.006531565,Downregulated
csiE,stationary phase inducible protein CsiE,84.95335055,149.2861628,42.06480906,0.281772994,-1.827394749,0.000994032,0.011772004,Downregulated
cstA,probable carbon starvation protein,143.2005628,10.70788313,231.5290159,21.62229574,4.434447804,0.008865277,0.071854824,Upregulated
cyaA,adenylate cyclase,426.641613,702.851919,242.501409,0.345024894,-1.535227636,0.00018006,0.002848336,Downregulated
cyaY,CyaY protein,32.2443184,53.47889319,18.0879352,0.338225683,-1.563941879,0.000589911,0.007680573,Downregulated
cydD,transport ATP-binding protein CydD,74.64521197,124.3595764,41.50230233,0.333728238,-1.583254331,0.008002403,0.065921684,Downregulated
cysB,cys regulon transcriptional activator,94.91574445,201.0468312,24.16168662,0.120179395,-3.056738526,8.22E-09,4.14E-07,Downregulated
dbh,DNA polymerase IV,84.89583153,173.8502776,25.59286746,0.147212117,-2.764031668,2.68E-08,1.16E-06,Downregulated
dcuA,anaerobic C4-dicarboxylate transporter,211.0155538,437.0943414,60.29636206,0.137948164,-2.857801835,0.007309879,0.060674777,Downregulated
dfp,conserved hypothetical protein,178.0421452,296.7806481,98.88314329,0.333185954,-1.585600513,7.60E-08,3.00E-06,Downregulated
dhaB,glycerol dehydratase large subunit,103.3596226,2.416389504,170.6551113,70.62400784,6.14208679,0.004085872,0.037319907,Upregulated
dmsA,anaerobic dimethyl sulfoxide reductase chain,154.945548,258.5634206,85.86696635,0.332092475,-1.590343061,6.03E-05,0.001116308,Downregulated
dmsB,anaerobic dimethyl sulfoxide reductase chain B,39.08650163,87.31806389,6.932126788,0.079389378,-3.654910195,7.23E-07,2.37E-05,Downregulated
dnaQ,DNA polymerase III epsilon subunit,65.04119385,132.004602,20.39892174,0.154531898,-2.694023426,0.001184359,0.013655572,Downregulated
dnaT,primosomal protein I,41.62504413,69.58484116,22.98517944,0.330318774,-1.598069125,0.004996447,0.044278388,Downregulated
dps,DNA protection during starvation protein,1848.306779,3944.714267,450.7017873,0.114254609,-3.129675727,0.004102728,0.037421675,Downregulated
dsbB,Disulfide bond formation protein B,37.18350384,9.232998741,55.81717391,6.04540036,2.595837886,0.003906132,0.035928733,Upregulated
dut,deoxyuridine 5'-triphosphate nucleotidohydrolase,54.90967198,96.96898228,26.87013178,0.277100276,-1.851519946,0.006273681,0.053497831,Downregulated
ecnR,transcriptional regulatory protein,56.94289764,104.1988177,25.43895093,0.244138576,-2.034227826,0.006146269,0.052824038,Downregulated
eco,Ecotin precursor.,91.99583873,222.3974076,5.061459514,0.022758626,-5.457442703,7.20E-14,9.24E-12,Downregulated
entA,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",43.14049776,2.899499064,69.96783023,24.13100631,4.592816175,0.001385828,0.01540881,Upregulated
entC,isochorismate synthase EntC,32.86972533,4.123595993,52.03381156,12.61855226,3.657474493,0.002544148,0.025672769,Upregulated
entD,enterobactin synthetase component D,17.05817121,5.774564686,24.58057556,4.256697586,2.089734599,0.002636369,0.026419006,Upregulated
entE,"2,3-dihydroxybenzoate-AMP ligase",61.18828093,4.462706174,99.00533076,22.18504354,4.471515479,3.63E-20,1.19E-17,Upregulated
entF,enterobactin synthetase component F,126.5023349,14.02530185,201.4870237,14.36596701,3.844583203,1.34E-11,1.10E-09,Upregulated
envE,putative lipoprotein,132.809181,244.6950242,58.21861886,0.237923182,-2.071432245,1.45E-08,6.80E-07,Downregulated
eutA,putative ethanolamine utilization protein EutA,29.00800205,5.329227557,44.79385171,8.405317887,3.071302383,2.36E-15,3.97E-13,Upregulated
eutC,Ethanolamine ammonia-lyase light chain,35.8292771,2.460691146,58.07500106,23.6010932,4.560781781,0.004008136,0.036763703,Upregulated
eutE,putative aldehyde dehydrogenase,53.55845465,2.733489147,87.44176499,31.9890661,4.999506969,1.42E-07,5.31E-06,Upregulated
eutG,putative alchohol dehydrogenase,30.67259256,1.40586874,50.18374177,35.69589417,5.157686236,0.000783885,0.009600599,Upregulated
eutK,ethanolamine utilization protein EutK,28.88971435,5.677289853,44.36466402,7.814408841,2.966136738,2.10E-07,7.49E-06,Upregulated
eutM,ethanolamine utilization protein,23.69764593,1.807745928,38.2909126,21.18157868,4.404738213,3.61E-19,1.03E-16,Upregulated
exc,surface exclusion protein,357.9408412,750.867275,95.98988538,0.127838685,-2.967603617,3.55E-21,1.55E-18,Downregulated
exo,5'-3' exonuclease,53.77300732,90.43121529,29.33420201,0.324381376,-1.624237106,0.00829387,0.067980667,Downregulated
exoX,exodeoxyribonuclease X,65.31624181,126.4197412,24.58057556,0.194436212,-2.362631164,0.002982708,0.028989772,Downregulated
fadA,small (beta) subunit of the fatty acid-oxidizing multienzyme complex,59.19171322,11.09399843,91.25685641,8.225785952,3.040153531,0.009577501,0.076491527,Upregulated
fadJ,putative fatty acid oxidation complex alpha subunit,126.8775988,43.34953268,182.5629763,4.211417401,2.074305871,0.001310816,0.01477544,Upregulated
fadR,Fatty acid metabolism regulator protein.,122.9337076,236.2319594,47.40153973,0.200656761,-2.31719833,0.000661014,0.008438562,Downregulated
fbp,"fructose-1,6-bisphosphatase",266.8595832,561.5843275,70.37642043,0.125317636,-2.996338633,0.003791685,0.035073082,Downregulated
fdnH,"formate dehydrogenase, nitrate-inducible, iron-sulfur subunit (formate dehydrogenase-n beta subunit) (fdh-n beta subunit) (anaerobic formate dehydrogenase iron-sulfur subunit)",20.84457225,6.989148366,30.0815215,4.30403247,2.105688962,0.004295305,0.038853524,Upregulated
fdnI,"formate dehydrogenase, nitrate-inducible, cytochrome b556(fdn) subunit (formate dehydrogenase-n gamma subunit) (fdh-n gamma subunit) (anaerobic formate dehydrogenase cytochrome b556 subunit)",40.5837626,16.89113478,56.3788478,3.337777392,1.738887739,1.70E-06,5.17E-05,Upregulated
fimA,"type-1 fimbrial protein, a chain precursor",126.73165,310.7553737,4.049167611,0.013030081,-6.262010165,2.12E-26,1.16E-23,Downregulated
fimY,fimbriae Y protein,18.20238147,41.82529644,2.453771491,0.058667163,-4.091302957,0.004057462,0.037164079,Downregulated
fimZ,probable transcriptional regulator (FimXZ protein),70.80254197,165.7180603,7.525529746,0.045411645,-4.460793888,1.56E-15,3.00E-13,Downregulated
flaG,flagellin,390.9482092,899.9635873,51.60462387,0.057340791,-4.124294386,7.65E-06,0.000186955,Downregulated
fldB,flavodoxin II,54.58574743,109.9916954,17.64844877,0.160452557,-2.639781314,0.000185476,0.002911199,Downregulated
flgK,flagellar hook-associated protein 1,170.9257445,340.7504539,57.70927151,0.169359339,-2.561840554,1.21E-15,2.40E-13,Downregulated
flgM,negative regulator of flagellin synthesis (anti-sigma factor),206.034891,494.9191805,13.44536463,0.027166788,-5.202012169,1.49E-34,1.62E-31,Downregulated
flhD,Transcriptional activator flhD.,69.21266404,135.7311926,24.8669783,0.183207543,-2.448449192,6.58E-05,0.001196593,Downregulated
fliA,RNA polymerase sigma transcription factor for flagellar operon,62.08863951,117.0631724,25.43895093,0.217309598,-2.202176199,0.00039576,0.005527832,Downregulated
fliB,lysine-N-methylase (ec 2.1.1.-) (lysine N-methyltransferase),51.61721054,103.4604576,17.05504582,0.164846031,-2.600808942,0.003361693,0.0319996,Downregulated
fliC,flagellin,892.6045443,1896.408339,223.4020147,0.117802696,-3.08555554,4.13E-13,4.58E-11,Downregulated
fliD,flagellar hook associated protein (FliD),553.2982965,1199.919715,122.2173508,0.101854607,-3.295416861,5.95E-05,0.001103129,Downregulated
fliZ,FliZ protein,47.25104859,94.93814693,15.4596497,0.162839177,-2.618480261,0.000115372,0.001942349,Downregulated
focA,probable formate transporter (formate channel),327.8934345,684.9057295,89.88523774,0.131237386,-2.929749329,0.01004452,0.079159521,Downregulated
folP,dihydropteroate synthase,40.30050763,76.02790856,16.48224034,0.216791974,-2.205616751,0.003097446,0.029914566,Downregulated
fpr,ferredoxin--NADP reductase,94.13007072,161.1550953,49.44672102,0.306826917,-1.704503044,6.24E-06,0.000154678,Downregulated
FQ312003.1509,FQ312003.1509,7.90398807,2.397924138,11.57469736,4.826965612,2.271116549,0.006182979,0.052997221,Upregulated
FQ312003.2779,FQ312003.2779,18.10211228,3.16987416,28.0569377,8.851120353,3.14586008,2.52E-08,1.11E-06,Upregulated
FQ312003.2802,FQ312003.2802,102.6535412,193.5211913,42.0751078,0.217418607,-2.201452682,0.00343779,0.032487855,Downregulated
FQ312003.3325,FQ312003.3325,126.4152742,279.167322,24.58057556,0.088049616,-3.505539474,1.24E-11,1.03E-09,Downregulated
FQ312003.3689,FQ312003.3689,99.74996896,208.8079537,27.04464579,0.129519232,-2.948761759,0.001050028,0.01232371,Downregulated
FQ312003_intergenic_1_118,FQ312003_intergenic_1_118,11.28032106,20.83948818,4.907542982,0.235492491,-2.086247037,0.001666126,0.017976044,Downregulated
FQ312003_intergenic_1000151_1000308,FQ312003_intergenic_1000151_1000308,55.3963677,120.5005398,11.9935863,0.099531391,-3.328704589,2.68E-08,1.16E-06,Downregulated
FQ312003_intergenic_1047490_1047995,FQ312003_intergenic_1047490_1047995,154.5056773,354.592425,21.11451217,0.059545864,-4.069854896,0.000555549,0.00729117,Downregulated
FQ312003_intergenic_1066156_1066470,FQ312003_intergenic_1066156_1066470,52.37850461,114.4743199,10.9812944,0.095928016,-3.38190397,0.001229594,0.014077995,Downregulated
FQ312003_intergenic_11296_11542,FQ312003_intergenic_11296_11542,54.66135893,110.8887967,17.17640044,0.154897528,-2.690613979,4.98E-18,1.36E-15,Downregulated
FQ312003_intergenic_112962_113034,FQ312003_intergenic_112962_113034,8.139752717,18.83094394,1.012291903,0.053756833,-4.217408051,0.000728699,0.009089999,Downregulated
FQ312003_intergenic_1159940_1159971,FQ312003_intergenic_1159940_1159971,3.545230158,0.182052378,5.787348679,31.78947033,4.990477073,0.000753152,0.009306397,Upregulated
FQ312003_intergenic_1192338_1192508,FQ312003_intergenic_1192338_1192508,18.97908551,41.80356647,3.762764873,0.090010618,-3.473760985,0.003195285,0.030675886,Downregulated
FQ312003_intergenic_1214283_1214338,FQ312003_intergenic_1214283_1214338,2.043087737,0.552405779,3.036875709,5.497545145,2.458787546,0.010246829,0.080079335,Upregulated
FQ312003_intergenic_1254940_1254986,FQ312003_intergenic_1254940_1254986,6.426566812,0.222808848,10.56240545,47.40568224,5.566988092,1.99E-06,5.88E-05,Upregulated
FQ312003_intergenic_1287948_1287978,FQ312003_intergenic_1287948_1287978,5.159416023,1.62569355,7.515231005,4.622784538,2.208762122,0.000892618,0.010667437,Upregulated
FQ312003_intergenic_1289712_1290847,FQ312003_intergenic_1289712_1290847,138.7962928,281.0875175,43.93547634,0.156305327,-2.677561148,2.58E-05,0.000529037,Downregulated
FQ312003_intergenic_1295345_1295925,FQ312003_intergenic_1295345_1295925,81.07855782,141.7305041,40.64392696,0.286769085,-1.802038592,0.005571589,0.048736017,Downregulated
FQ312003_intergenic_1307302_1307397,FQ312003_intergenic_1307302_1307397,10.78432336,0.734458157,17.4842335,23.80562232,4.573230439,0.000148155,0.002407615,Upregulated
FQ312003_intergenic_1368214_1369004,FQ312003_intergenic_1368214_1369004,75.81237211,176.2945937,8.824224387,0.050053857,-4.320374946,1.86E-06,5.58E-05,Downregulated
FQ312003_intergenic_1462286_1462474,FQ312003_intergenic_1462286_1462474,28.54852295,65.29755596,4.049167611,0.062011013,-4.011331725,0.00020351,0.003165757,Downregulated
FQ312003_intergenic_1498890_1498988,FQ312003_intergenic_1498890_1498988,19.96007405,39.05694273,7.228828267,0.185084335,-2.433745301,0.005018682,0.044415333,Downregulated
FQ312003_intergenic_1516737_1517053,FQ312003_intergenic_1516737_1517053,95.40525322,224.1879627,9.550113551,0.04259869,-4.553047121,2.26E-09,1.26E-07,Downregulated
FQ312003_intergenic_1576510_1576585,FQ312003_intergenic_1576510_1576585,2.031784064,0.524146597,3.036875709,5.793943382,2.534545587,0.008894145,0.0719997,Upregulated
FQ312003_intergenic_1583298_1583367,FQ312003_intergenic_1583298_1583367,53.19426074,111.299167,14.45765653,0.129899054,-2.944537168,4.79E-09,2.49E-07,Downregulated
FQ312003_intergenic_1643429_1643636,FQ312003_intergenic_1643429_1643636,93.14224059,172.6286798,40.15128114,0.232587547,-2.104154241,1.97E-05,0.000423883,Downregulated
FQ312003_intergenic_1677771_1678095,FQ312003_intergenic_1677771_1678095,12.04938793,1.289847975,19.22241457,14.90285285,3.897516627,1.54E-10,1.09E-08,Upregulated
FQ312003_intergenic_1712030_1712079,FQ312003_intergenic_1712030_1712079,21.23083747,49.39643643,2.453771491,0.049675071,-4.331334158,0.000242642,0.003661428,Downregulated
FQ312003_intergenic_1799555_1799930,FQ312003_intergenic_1799555_1799930,41.72699655,96.08152057,5.4906472,0.057145715,-4.129210864,0.003121454,0.030062359,Downregulated
FQ312003_intergenic_189404_189548,FQ312003_intergenic_189404_189548,31.66339863,77.64005873,1.012291903,0.013038268,-6.261103941,0.000611035,0.007924096,Downregulated
FQ312003_intergenic_1908958_1909080,FQ312003_intergenic_1908958_1909080,7.944796051,2.746267002,11.41048208,4.154906307,2.054815945,0.002542801,0.025672769,Upregulated
FQ312003_intergenic_1915822_1916206,FQ312003_intergenic_1915822_1916206,44.85061838,109.0896702,2.024583806,0.018558896,-5.751745325,0.001176676,0.013590923,Downregulated
FQ312003_intergenic_1979685_1980370,FQ312003_intergenic_1979685_1980370,186.4409926,406.9167999,39.45712104,0.096966065,-3.366376245,2.69E-09,1.50E-07,Downregulated
FQ312003_intergenic_1983117_1983649,FQ312003_intergenic_1983117_1983649,99.28006687,218.2777116,19.94830373,0.091389559,-3.451826844,0.001544557,0.01685884,Downregulated
FQ312003_intergenic_1984308_1984757,FQ312003_intergenic_1984308_1984757,36.9077536,83.58836098,5.787348679,0.069236298,-3.852327601,0.01098428,0.084630647,Downregulated
FQ312003_intergenic_1996522_1996884,FQ312003_intergenic_1996522_1996884,27.2588746,59.26743417,5.919834885,0.099883435,-3.323610759,0.003648252,0.03404211,Downregulated
FQ312003_intergenic_2003863_2003891,FQ312003_intergenic_2003863_2003891,2.815046651,0.320083681,4.478355297,13.99120154,3.806447959,0.002437448,0.024825578,Upregulated
FQ312003_intergenic_2006764_2006919,FQ312003_intergenic_2006764_2006919,28.16066201,54.55804684,10.56240545,0.193599406,-2.36885357,0.012049355,0.091121507,Downregulated
FQ312003_intergenic_2041561_2041744,FQ312003_intergenic_2041561_2041744,14.97505822,2.975324494,22.9748807,7.721806731,2.948938445,2.05E-11,1.60E-09,Upregulated
FQ312003_intergenic_2079825_2080015,FQ312003_intergenic_2079825_2080015,98.32764503,219.5927623,17.4842335,0.079621174,-3.650704049,0.001325584,0.014876806,Downregulated
FQ312003_intergenic_2088168_2088600,FQ312003_intergenic_2088168_2088600,51.28008304,117.8020174,6.932126788,0.058845569,-4.086922395,3.93E-08,1.63E-06,Downregulated
FQ312003_intergenic_2090527_2090621,FQ312003_intergenic_2090527_2090621,16.95272964,29.37636233,8.670307855,0.295145728,-1.760500633,0.000162776,0.002600049,Downregulated
FQ312003_intergenic_2093600_2093960,FQ312003_intergenic_2093600_2093960,299.1530824,613.3917649,89.66062744,0.14617188,-2.774262297,0.003567403,0.033423346,Downregulated
FQ312003_intergenic_2288879_2289107,FQ312003_intergenic_2288879_2289107,24.50589134,48.90304809,8.241120169,0.16851956,-2.569012037,0.010882743,0.083947098,Downregulated
FQ312003_intergenic_2319859_2320148,FQ312003_intergenic_2319859_2320148,120.678362,226.4369896,50.17261018,0.221574268,-2.174137749,0.00971326,0.077199199,Downregulated
FQ312003_intergenic_2338323_2338550,FQ312003_intergenic_2338323_2338550,25.92129316,1.29311258,42.34008022,32.74276413,5.033104214,8.55E-27,5.09E-24,Upregulated
FQ312003_intergenic_2352511_2352525,FQ312003_intergenic_2352511_2352525,3.540457434,0.615172786,5.4906472,8.925374009,3.157912625,0.001326623,0.014876806,Upregulated
FQ312003_intergenic_2425114_2425326,FQ312003_intergenic_2425114_2425326,20.18706179,4.717038809,30.50041045,6.466007952,2.692875282,2.62E-10,1.79E-08,Upregulated
FQ312003_intergenic_2437265_2437558,FQ312003_intergenic_2437265_2437558,60.95098125,134.585803,11.8611001,0.088130396,-3.504216504,3.53E-06,9.75E-05,Downregulated
FQ312003_intergenic_2438830_2439660,FQ312003_intergenic_2438830_2439660,132.7233695,289.0946839,28.47582664,0.098500001,-3.343732451,5.19E-05,0.000980376,Downregulated
FQ312003_intergenic_2445366_2445604,FQ312003_intergenic_2445366_2445604,34.08051414,82.16440964,2.024583806,0.024640642,-5.342816343,0.002688346,0.026792109,Downregulated
FQ312003_intergenic_253893_254242,FQ312003_intergenic_253893_254242,295.6403306,617.9234626,80.78490935,0.130736109,-2.935270426,6.09E-13,6.52E-11,Downregulated
FQ312003_intergenic_2541969_2542251,FQ312003_intergenic_2541969_2542251,104.9491665,211.4232055,33.96647384,0.160656319,-2.637950373,4.42E-07,1.51E-05,Downregulated
FQ312003_intergenic_2619169_2619608,FQ312003_intergenic_2619169_2619608,84.83623811,193.4564343,12.42277399,0.06421484,-3.960949447,0.000477166,0.006429958,Downregulated
FQ312003_intergenic_2656172_2656362,FQ312003_intergenic_2656172_2656362,36.02242535,76.81972679,8.824224387,0.11486925,-3.121935451,0.001080374,0.012634589,Downregulated
FQ312003_intergenic_2681193_2681251,FQ312003_intergenic_2681193_2681251,98.94929455,237.6188277,6.502939102,0.027367104,-5.191413429,1.64E-15,3.07E-13,Downregulated
FQ312003_intergenic_2692702_2692925,FQ312003_intergenic_2692702_2692925,12.70491703,22.88254024,5.919834885,0.25870532,-1.950618376,0.002957723,0.028824596,Downregulated
FQ312003_intergenic_2786753_2786970,FQ312003_intergenic_2786753_2786970,135.7388335,331.1111131,5.4906472,0.016582491,-5.914195408,2.04E-11,1.60E-09,Downregulated
FQ312003_intergenic_2806991_2807021,FQ312003_intergenic_2806991_2807021,18.85483495,44.10021167,2.024583806,0.045908709,-4.445088312,0.001961936,0.020623949,Downregulated
FQ312003_intergenic_2893776_2894391,FQ312003_intergenic_2893776_2894391,346.3240048,858.2178227,5.061459514,0.00589764,-7.405646594,0.004400426,0.039749502,Downregulated
FQ312003_intergenic_2938041_2938902,FQ312003_intergenic_2938041_2938902,104.7629283,226.9844994,23.28188092,0.102570356,-3.285314259,2.55E-07,8.97E-06,Downregulated
FQ312003_intergenic_2969504_2969750,FQ312003_intergenic_2969504_2969750,62.56870307,131.2687931,16.76864308,0.127742799,-2.968686125,6.77E-05,0.001228977,Downregulated
FQ312003_intergenic_2970253_2970850,FQ312003_intergenic_2970253_2970850,68.69284528,168.051456,2.453771491,0.014601311,-6.097758328,0.00021238,0.00329591,Downregulated
FQ312003_intergenic_2983251_2983646,FQ312003_intergenic_2983251_2983646,26.68753584,56.32064943,6.932126788,0.123083218,-3.022294023,0.010139474,0.0796204,Downregulated
FQ312003_intergenic_2996628_2996762,FQ312003_intergenic_2996628_2996762,25.49667115,57.02414493,4.478355297,0.07853437,-3.670532013,0.003561517,0.033416008,Downregulated
FQ312003_intergenic_3040147_3040361,FQ312003_intergenic_3040147_3040361,82.02722741,192.261336,8.537821648,0.044407377,-4.493056829,0.001549997,0.016885959,Downregulated
FQ312003_intergenic_3041392_3042381,FQ312003_intergenic_3041392_3042381,108.4818775,247.7688962,15.62386497,0.063058218,-3.987171799,0.004979226,0.044245524,Downregulated
FQ312003_intergenic_3046708_3046937,FQ312003_intergenic_3046708_3046937,79.39107583,164.8900248,22.39177648,0.135798248,-2.880463228,0.001934532,0.020383754,Downregulated
FQ312003_intergenic_3121896_3122022,FQ312003_intergenic_3121896_3122022,32.22155866,68.83599792,7.811932484,0.113486151,-3.139411837,0.006095268,0.052673063,Downregulated
FQ312003_intergenic_3141720_3142183,FQ312003_intergenic_3141720_3142183,87.66145174,184.4771309,23.11766565,0.125314534,-2.996374349,0.000735164,0.009135837,Downregulated
FQ312003_intergenic_3241553_3241651,FQ312003_intergenic_3241553_3241651,24.34658786,44.37907994,10.99159314,0.247675102,-2.01347925,0.000160833,0.002582609,Downregulated
FQ312003_intergenic_3266609_3267749,FQ312003_intergenic_3266609_3267749,78.80498586,152.1210572,29.92760497,0.196735452,-2.345671137,0.012254006,0.092243089,Downregulated
FQ312003_intergenic_3369121_3369220,FQ312003_intergenic_3369121_3369220,45.28865714,102.8234527,6.932126788,0.067417759,-3.89072751,4.03E-06,0.000109996,Downregulated
FQ312003_intergenic_3497969_3498016,FQ312003_intergenic_3497969_3498016,4.448888021,0.92275918,6.799640581,7.368813804,2.8814324,0.005062522,0.044682556,Upregulated
FQ312003_intergenic_350141_350370,FQ312003_intergenic_350141_350370,42.71207116,83.77398456,15.33746223,0.183081446,-2.449442503,0.006516152,0.055148404,Downregulated
FQ312003_intergenic_3530480_3530513,FQ312003_intergenic_3530480_3530513,2.890140868,0.062767007,4.775056776,76.07590307,6.24936765,0.003356223,0.031994035,Upregulated
FQ312003_intergenic_3532659_3532820,FQ312003_intergenic_3532659_3532820,39.29000455,85.433727,8.527522908,0.099814479,-3.32460709,0.001988436,0.020869016,Downregulated
FQ312003_intergenic_3536137_3536222,FQ312003_intergenic_3536137_3536222,23.82887441,50.891163,5.787348679,0.11372011,-3.136440689,0.009747113,0.077280683,Downregulated
FQ312003_intergenic_3536728_3536783,FQ312003_intergenic_3536728_3536783,15.58867556,35.93481319,2.024583806,0.056340457,-4.149684918,0.001453011,0.015939308,Downregulated
FQ312003_intergenic_3549969_3550232,FQ312003_intergenic_3549969_3550232,20.16653749,46.73568648,2.453771491,0.052503166,-4.251451777,3.63E-10,2.35E-08,Downregulated
FQ312003_intergenic_3571173_3571464,FQ312003_intergenic_3571173_3571464,22.81479671,42.72726955,9.539814811,0.223272278,-2.16312396,0.000421311,0.005772316,Downregulated
FQ312003_intergenic_3624242_3624266,FQ312003_intergenic_3624242_3624266,24.25206199,49.78691257,7.228828267,0.145195351,-2.78393283,0.007920987,0.065415568,Downregulated
FQ312003_intergenic_3636871_3637077,FQ312003_intergenic_3636871_3637077,63.15701544,136.8652835,14.01817011,0.102423126,-3.287386605,4.74E-06,0.000125166,Downregulated
FQ312003_intergenic_3657672_3657715,FQ312003_intergenic_3657672_3657715,6.926203414,1.471900353,10.56240545,7.176032964,2.843186517,0.003717191,0.034567351,Upregulated
FQ312003_intergenic_3681898_3682022,FQ312003_intergenic_3681898_3682022,42.98982873,92.52106807,9.969002496,0.107748459,-3.214260861,0.005795651,0.050272474,Downregulated
FQ312003_intergenic_3758154_3758298,FQ312003_intergenic_3758154_3758298,89.61469307,150.9863811,48.70023437,0.322547199,-1.632417805,1.64E-09,9.68E-08,Downregulated
FQ312003_intergenic_3781840_3782126,FQ312003_intergenic_3781840_3782126,319.8503649,748.890379,33.82368889,0.045165073,-4.468648638,1.17E-05,0.000272679,Downregulated
FQ312003_intergenic_3782662_3782885,FQ312003_intergenic_3782662_3782885,27.52841146,56.90440062,7.944418691,0.139609918,-2.840526662,0.004161497,0.037904925,Downregulated
